URL,Preview,Caption
resources/cousins.jpeg,,"Circa 2013 with the cousins.  The day on which ""Turkey with honor"" was coined -- to boost morale (and distract certain mutinous elements)"
resources/from-the-top.jpg,,View from the top (Photo: National Park Service)
resources/narrow-passage.jpg,,All must pass through here! (Photo: paxa via TripAdvisor)
resources/general-store.jpg,,The Corner Store in Sperryville
